1;fr;Quel objet tient-on en main pour jouer au tennis, que ce soit en simple ou en double ?;Raquette;Perche;Batte;Crosse;Débutant;Les premières raquettes furent utilisées vers 1505 pour éviter aux nobles qui jouaient au jeu de paume de se blesser les mains.;https://fr.wikipedia.org/wiki/Raquette_(sport)
2;fr;Quelle est la nationalité de Roger Federer, un des plus grands joueurs de tennis de tous les temps ?;Suisse;Belge;Française;Allemande;Débutant;Roger Federer est le seul joueur de l'histoire du tennis à avoir gagné cinq fois de suite deux tournois du Grand Chelem.;https://fr.wikipedia.org/wiki/Roger_Federer
3;fr;Au tennis, quel coup de volée puissant cherche à terminer le point ?;Smash;Service;Lift;Revers;Débutant;Au tennis, un joueur effectue un smash après que son adversaire lui ait proposé un lob offensif ou défensif.;https://fr.wikipedia.org/wiki/Smash
4;fr;Quel joueur de tennis français peut-on voir dans une publicité de Kinder Bueno ?;Jo-Wilfried Tsonga;Yannick Noah;Gilles Simon;Gaël Monfils;Débutant;Le meilleur rang au classement ATP de Jo-Wilfried Tsonga est une cinquième place mondiale, atteinte en février 2012.;https://fr.wikipedia.org/wiki/Jo-Wilfried_Tsonga
5;fr;Au tennis, quand une balle rebondit en dehors du terrain, on dit qu'elle est...;Out;Nulle;Fausse;Blanche;Débutant;Lorsque la balle tombe dans le filet, du côté du joueur qui a frappé la balle, le point est également accordé à l'adversaire.;https://fr.wikipedia.org/wiki/Tennis
6;fr;Comment se prénomment les sœurs Williams, joueuses de tennis américaines professionnelles ?;Venus et Serena;Martina et Kimi;Sarah et Sabrina;Monica et Steffi;Débutant;Venus et Serena Williams ont toutes deux été entraînées par leur père, Richard Williams.;https://fr.wikipedia.org/wiki/S?urs_Williams
7;fr;Quelle est généralement la couleur de la balle utilisée au tennis ?;Jaune;Rouge;Verte;Bleue;Débutant;Recouvertes de feutre, les balles doivent impérativement être jaunes ou blanches dans les compétitions officielles.;https://fr.wikipedia.org/wiki/Tennis#Les_balles
8;fr;Au tennis, lorsque vous jouez en double, quelle zone du terrain est ajoutée ?;Les couloirs;Les carrés;Les lignes;Les fonds;Débutant;Pour le jeu en double, deux couloirs de 1,37 mètre sont ajoutés, faisant ainsi passer la largeur du court à 10,97 mètres.;https://fr.wikipedia.org/wiki/Tennis
9;fr;Où est positionné l'arbitre principal durant un match de tennis ?;Sur une chaise;Dans un box;Derrière les joueurs;Face au public;Débutant;Le juge de ligne veille quant à lui au bon déroulement de la partie, à l'application des règles et au code de bonne conduite.;https://fr.wikipedia.org/wiki/Arbitre_sportif#Tennis
10;fr;Quelle est a première action effectuée au début d'un match de tennis ?;Service;Smash;Volée;Lift;Débutant;Le service doit être frappé en diagonale de telle sorte que la balle tombe dans le carré de service.;https://fr.wikipedia.org/wiki/Tennis
11;fr;Parmi ces joueurs de tennis professionnels, lequel est le plus âgé ? ;Andre Agassi;Marat Safin;Rafael Nadal;Roger Federer;Confirmé;Andre Agassi a remporté 60 titres en simple sur le circuit ATP, dont 8 tournois du Grand Chelem.;https://fr.wikipedia.org/wiki/Andre_Agassi
12;fr;En quelle année Rafael Nadal a-t-il remporté son premier Grand Chelem ?;2005;2004;2003;2002;Confirmé;Rafael Nadal est considéré par de nombreux spécialistes comme le meilleur joueur de terre battue de l'histoire du tennis.;https://fr.wikipedia.org/wiki/Rafael_Nadal
13;fr;Quel est le plus grand court de tennis du stade Roland-Garros ?;Philippe-Chartier;Numéro 1;Suzanne-Lenglen;La Tourelle;Confirmé;Philippe Chartier fut à la tête de la Fédération française de tennis et de la Fédération internationale de tennis.;https://fr.wikipedia.org/wiki/Court_Philippe-Chatrier
14;fr;Dans les quatre tournois du Grand Chelem, chaque tour se joue en combien de sets gagnants ?;Trois;Deux;Quatre;Cinq;Confirmé;Réaliser le Grand Chelem en tennis est le fait de remporter, la même année, les quatre tournois majeurs du circuit international.;https://fr.wikipedia.org/wiki/Grand_Chelem_de_tennis
15;fr;Chez les hommes, qui est le plus jeune vainqueur du tournoi de Roland Garros ?;Michael Chang;Jim Courier;Thomas Muster;Boris Becker;Confirmé;Le meilleur classement ATP en simple de Michael Chang a été la deuxième place mondiale, obtenue le 9 septembre 1996.;https://fr.wikipedia.org/wiki/Michael_Chang
16;fr;Au tennis, quel est le score du jeu lorsque le serveur marque 3 points et le receveur 2 ?;40-30;30-40;3-2;2-3;Confirmé;Les scores possibles pour remporter un set sont : 6/0, 6/1, 6/2, 6/3, 6/4 et 7/5.;https://fr.wikipedia.org/wiki/Tennis
17;fr;Lequel de ces joueurs de tennis est naturalisé américain depuis 1992 ?;Ivan Lendl;Boris Becker;John McEnroe;Pete Sampras;Confirmé;Lendl a marqué l'histoire du tennis par son jeu de fond de court, plus offensif que ceux de ses prédécesseurs.;https://fr.wikipedia.org/wiki/Ivan_Lendl
18;fr;Qui est devenu à 19 ans le plus jeune vainqueur du tournoi US Open ?;Pete Sampras;Andre Agassi;Boris Becker;Roger Federer;Confirmé;Pete Sampras est le seul joueur de l'ère Open à avoir achevé six saisons au premier rang mondial.;https://fr.wikipedia.org/wiki/Pete_Sampras
